,PC_1,PC_2,PC_3,class,CoinName,Algorithm,ProofType,TotalCoinsMined,TotalCoinSupply
ETH,-0.35712007632669385,-1.6728921006467437,-0.37171052753332434,0,Ethereum,Ethash,PoW,107684222.6865,0
XMR,-0.36260618190581534,-1.8352312022899544,-0.28646789219122365,0,Monero,CryptoNight-V7,PoW,17201143.1449131,0
ETC,-0.35553564821452643,-1.6730139174810676,-0.3717194111477657,0,Ethereum Classic,Ethash,PoW,113359703.0,210000000
ZEC,-0.35367354656785716,-1.6824097928682458,-0.3528305747659044,0,ZCash,Equihash,PoW,7383056.25,21000000
BTS,-0.1977289952047638,1.9744622595943921,-1.5357556253977356,1,Bitshares,SHA-512,PoS,2741570000.0,3600570502
DGB,-0.09203742832301695,-1.500224151996499,-0.45378030115914436,0,DigiByte,Multiple,PoW,11406219141.0,21000000000
KOBO,-0.0808211295632105,1.286670473000364,1.170357184819442,1,KoboCoin,X15,PoW/PoS,25542535.5881841,350000000
XMY,-0.30477772544164283,-1.484066231295769,-0.4514351401883774,0,MyriadCoin,Multiple,PoW,1688254250.0,2000000000
QRK,-0.3265042195561423,-0.3793170616643415,-0.30257804332309013,0,QuarkCoin,Quark,PoW,259557164.91477,247000000
RIC,-0.3355176997990572,-1.1792783438198018,0.18154250887316106,0,Riecoin,Groestl,PoW,49548585.14129171,84000000
DMD,-0.21919877727640202,0.5611351505986928,1.1073610827166136,1,Diamond,Groestl,PoW/PoS,3304487.74735637,4380000
XVG,-0.09057020752985163,-1.5002368898929916,-0.4543698681468818,0,Verge,Multiple,PoW,15929530669.1206,16555000000
EXCL,-0.2670963422131521,2.1738753860173734,-1.7496806130742806,1,Exclusive Coin,PoS,PoS,5679705.0,0
FTC,-0.34503008444250316,-1.4622572348064233,0.004149611596141509,0,FeatherCoin,NeoScrypt,PoW,208669093.00773,336000000
MAX,-0.19502156374784754,1.188089411497878,1.660267844900894,1,MaxCoin,SHA3,PoW/PoS,61445805.0,100000000
MED,-0.35909282641168755,-1.8068404524589432,-0.2804998926715955,0,MediterraneanCoin,HybridScryptHash256,PoW,40431856.9,200000000
ORB,-0.23176576430543697,0.27838782523544436,0.9300043891009357,1,Orbitcoin,NeoScrypt,PoW/PoS,3220616.279225,3770000
TES,-0.25938055523086695,0.7465910807466333,-1.1165663368902279,1,TeslaCoin,Multiple,PoS,80260463.7331396,100000000
TIT,-0.21154970919521085,1.8642741373030742,-0.819485911873783,1,TittieCoin,PHI1612,PoS,1622326490.46336,2300000000
VTC,-0.3394665249244073,-1.0884667994701396,-0.21935955891455977,0,Vertcoin,Lyra2REv2,PoW,51173723.81663471,84000000
XCR,-0.2599658661843295,0.7466365653046696,-1.116565864820332,1,Crypti,Multiple,PoS,100000000.0,0
BURST,-0.1521448284702563,1.0820523111590616,5.794690421997076,1,BurstCoin,Shabal256,PoC,1813033920.0,2158812800
SJCX,-0.25154097278374044,2.0376603902373756,-1.5958599555659523,1,StorjCoin,Counterparty,PoS,51173144.0,500000000
FAIR,-0.21885484406884373,0.5611097853925242,1.1073528935752694,1,FairCoin,Groestl,PoW/PoS,53193831.0,0
FLDC,-0.34306381442158684,-1.8082738655544308,-0.28078436918930766,0,Folding Coin,Stanford Folding,PoW,719416990.0,1000000000
UIS,-0.3316959881473268,-1.4820304676441025,-0.45108777047349424,0,Unitus,Multiple,PoW,65113302.0,0
CYP,-0.34493291625165806,-1.3921741145591753,0.024308062205890994,0,CypherPunkCoin,QuBit,PoW,6365285.0,0
XCN,-0.33419090986965866,-1.8090821133294885,-0.2808434789450756,0,Cryptonite,M7 POW,PoW,708506520.0,1840000000
NXS,-0.21938486793872397,1.1551687439234,1.868854812292241,1,Nexus,SHA3,PoW/nPoS,63657220.0,78000000
CTO,-0.3636017335462562,-1.8277050233822527,-0.28489513876757616,0,Crypto,Lyra2RE,PoW,13742738.0,65789100
DRZ,-0.19053896646361923,1.1957207932338418,1.5494236029966169,1,Droidz,QUAIT,PoW/PoS,8568038.35935056,5060000
EXP,-0.3577286161307203,-1.6728474180996251,-0.3716948906827802,0,Expanse,Ethash,PoW,10495278.0,16906397
SC,-0.054615012040515644,-1.8388165009321196,-0.2902075243700135,0,Siacoin,Blake2b,PoW,33098296530.0,0
EGC,-0.0832880296770769,1.2868600672934727,1.1703714248887247,1,EverGreenCoin,X15,PoW/PoS,13530556.4180753,26298000
DCR,-0.012990870342142594,0.5387998781112999,1.0964750760027044,1,Decred,BLAKE256,PoW/PoS,10365046.928166099,21000000
HODL,-0.36067513561715625,-1.806697499010116,-0.28048148576185306,0,HOdlcoin,1GB AES Pattern Search,PoW,11448949.0,81962100
PWR,-0.10701366417293308,0.9951221498205464,1.2545285235640453,1,PWR Coin,NIST5,PoW/PoS,10069449031.9252,0
SOIL,-0.36267061942578604,-1.8205827849818175,-0.283398463371356,0,SoilCoin,Dagger,PoW,5702048.0,30000000
SIB,-0.36123174420715937,-1.806646600587042,-0.2804790824016543,0,SibCoin,X11GOST,PoW,17263355.0,24000000
NEBU,-0.26684156639542833,2.1738560948458225,-1.7496837667310081,1,Nebuchadnezzar,PoS,PoS,20000000.0,20000000
VIP,-0.1816317457993196,1.0006438168358203,1.2561974060721022,1,VIP Tokens,NIST5,PoW/PoS,83450403.0,90000000
LIR,-0.25780120775536314,2.0537900606813313,-1.6123985409686812,1,Let it Ride,POS 3.0,PoS,38589808.6658096,33500000
KMD,-0.2764387897812677,-0.7948114289415479,-0.2802713250382377,0,Komodo,Equihash,dPoW/PoW,115898131.0,200000000
COVAL,-0.31583901337783354,-1.4832301637357728,-0.451289661613098,0,Circuits of Value,Multiple,PoW,1000000000.0,1200000000
BUZZ,0.1494734176859593,1.1817555550063545,1.568566941348925,1,BuzzCoin,SHA-256D,PoW/PoS,19577787259.0,20000000000
XPO,-0.26603781342619315,2.173795432267534,-1.7496948553403704,1,Opair,PoS,PoS,74033806.79496829,74000000
XZC,-0.363707708888362,-1.8277090137915741,-0.2848959009274275,0,ZCoin,Lyra2Z,PoW,7568281.24956067,21400000
CFC,-0.26572442076544706,2.1737729666966574,-1.749706077535891,1,CoffeeCoin,PoS,PoS,148716816.0,39999898
GNJ,-0.1885174070583714,1.1955402345076356,1.5493862503010565,1,GanjaCoin V2,X14,PoW/PoS,100000000.0,100000000
TEAM,-0.2647951437781002,2.173698547455885,-1.749694016796121,1,TeamUP,PoS,PoS,17818682.1654,301000000
